element,level,t,r,theta,phi
0,0,0.0,0.0,0,0
1,1,0.01465100805049091,0.013026579520724307,-1.9222969910782997,1.796677376110027
5,2,0.05069363806717775,0.03513317209128798,3.0796132054287297,1.9750082933267714
17,3,0.08025309152341775,0.0482994630054365,2.959654078745455,1.7498522097611855
54,4,0.10887083539514475,0.04897022218210605,3.021644058615847,1.9095152421057773
141,4,0.13491787783423803,0.04743022486864099,2.4796876918400956,1.2981416096090113
294,5,0.1635282292998671,0.04304038235043173,2.3284362700362333,1.167685395034507
617,6,0.1963144406849997,0.05661920752417954,1.9150330465715057,1.3493331241084874
1189,7,0.23124403706529972,0.07633685884723623,2.0335451577573194,1.623105554951731
1938,8,0.2616924834671236,0.0734779982362981,1.92396534428628,1.6216587189976934
2638,9,0.2815466476391696,0.07316784537165814,1.7255478975509382,1.5842981869883346
3478,10,0.3016962075051076,0.08399083445596967,1.8127694481927774,1.4686779371623038
5601,11,0.33978549616790277,0.09933934569879259,1.736596574622581,1.793218532510051
8345,12,0.3762849113286304,0.10438899469870216,1.576103882840405,2.0776907403448392
9970,13,0.39364195417441883,0.10329383961035556,1.6733838499627955,2.080510873318547
12432,14,0.41624593060085247,0.10665521880155898,1.8969086369019807,2.1759585905812244
16344,15,0.445131493433083,0.12125679647919552,1.8258681786014617,2.015108074383917
26035,16,0.5002755736772341,0.12163951977432377,1.718722078526682,1.578908622080932
27540,17,0.5077466977409929,0.1260860844273961,1.6972738619191967,1.5983069136663461
32714,18,0.5356536330986009,0.11152501922675488,1.7874066588585975,1.5343744141937306
35971,19,0.5562679143168184,0.12157474922472514,1.9279076936597246,1.526658936313345
40171,20,0.5882641302103943,0.12083103999459349,2.18317766182073,1.5464226107389005
43136,21,0.6156988927904445,0.12141357839665597,2.1520009402833455,1.6258290343302586
45477,22,0.6428498981425035,0.10500959622632572,2.181122481677964,1.5447518990093096
47029,23,0.6650480709968065,0.10551561107476776,2.0715583314281876,1.5992784878766393
49086,24,0.7041910899869336,0.13370447395127955,2.2258479530340978,1.7555890458812209
49615,24,0.7170474369518011,0.0692252525264705,1.7225419402244748,1.4729343070534064
49552,25,0.7157724812580518,0.1392039873120031,2.2193283489881934,1.8012418175018141
50603,25,0.7457665741670738,0.04878605974843447,1.6845789003903613,1.7682234856465338
50442,26,0.7406159872899045,0.14882083268224106,2.326562326070915,1.8837522694736024
51423,26,0.7832333326705433,0.02949073569749587,1.661366772898515,2.166848467352468
51395,27,0.7814826561919387,0.12102123160304616,2.3883499183312256,1.8877844235896877
51779,27,0.8071402492536353,0.015208585977919494,0.9341613050208629,2.131528300518183
51518,28,0.7893699685713711,0.12074828009014886,2.334787350385886,1.915181196705742
52056,28,0.8377241021699183,0.03820906599096216,1.0691151014514748,2.0721491371205714
52133,28,0.8500909373989275,0.03937766362705784,1.4352787364113924,2.007326547543203
51670,29,0.7997899874747395,0.12452215671159705,2.330960978195991,1.941811904990737
51864,29,0.8162982979317227,0.1194064387080244,2.5524696064774894,1.9177765327998662
52042,29,0.8364996609897999,0.08978991828256912,2.056978526942641,1.9697997253253983
52158,29,0.8544940755931418,0.05074221115555795,1.1415822095394412,2.173422541129371
52174,29,0.8577266271546197,0.04138679820072734,1.0724153715740141,1.9089349860357414
52224,29,0.8712671803423385,0.02641162497248411,1.8666218803779637,1.9496935933959092
52012,30,0.8330997564986683,0.11487263185675121,2.1508656674009297,1.7833619272043901
52015,30,0.833309038286321,0.12008524802218656,2.4056053636410186,2.018407482218541
52149,30,0.8530904762477806,0.10499731129335159,2.2718104500749225,1.6644988726300252
52202,30,0.8647542703278083,0.08195554755634707,1.9510613165787851,2.1101136543446914
52206,30,0.8666517976650779,0.0757232022029867,2.3922512926597066,1.7727385453890214
52261,30,0.8807952968168218,0.05143183251922913,1.1246459965469873,2.5176394253774226
52276,30,0.8867861643426695,0.02571152012223673,0.3573052819598699,1.8278488582703303
52300,30,0.8956223230482028,0.02394541079335233,0.7023238106361811,1.3405175964976308
52314,30,0.9009363170842818,0.0350160119897976,3.046225652807451,2.008539801640621
52330,30,0.91305917659876,0.030862678505768824,2.8079712670620687,1.0768937098303712
52132,31,0.8499322228832398,0.11377938695517818,2.1543964487164144,1.8902942801455724
52228,31,0.8719291604569239,0.09599055411661597,2.32028870772154,1.668241461186815
52230,31,0.8722024751105655,0.08844192392425075,2.106646598075361,1.6798380768034569
52253,31,0.8781344006761997,0.08516105301720003,2.270949704765476,1.6129772042015798
52284,31,0.8891976964909724,0.08617281321949505,2.6490317749313546,1.685736943424144
52318,31,0.9028135458642047,0.05805222769276089,2.1874193715910972,1.5032379994320095
52335,31,0.9181959658829992,0.05148124263132583,2.7034764471197827,1.657052054343282
52346,31,0.9333874332592135,0.033169145383863695,2.197629493536348,2.758006516926276
52350,31,0.9392885257737592,0.019810538489090958,2.7233741246289918,1.813315607847346
52339,32,0.9279599905573792,0.0496320123844385,2.2843556934142044,1.3812654851707085
52343,32,0.9291588650806355,0.056126031053143746,2.2135520374980295,1.2415813894304255
52353,32,0.9481416080238261,0.03681269308842972,2.947020885018991,2.953693861358016
52355,32,0.9527058622756971,0.02975846264899811,2.2089199636249823,0.8925579338450269
52357,32,0.9546977636129822,0.04024141833352131,1.7331181886939115,1.7551142862986802
52359,32,0.9585938064343396,0.035220323387473634,0.7254677378722346,2.360762489255511
52360,32,0.9586064546848462,0.032031244896206436,3.039207831176472,1.5271630350677177
52361,33,1.0,0.0,0,0
0,0,0.0,0.0,0,0
1,1,0.03847254380984211,0.02733171058859133,1.1498375879429124,2.625467033258092
2,1,0.03866464682359905,0.03433134079139535,-1.2304150184957918,0.4597782666839073
3,1,0.04059050950994514,0.039471836194640106,-2.9798571270698786,2.1364881443980055
4,1,0.04676235065744794,0.03010999754177463,-1.9748232295603612,0.9423203879977452
5,1,0.04971949300760348,0.02313536223687849,-0.5153348220884733,2.0590687201174953
7,1,0.053454250535733716,0.035562921673324095,-2.701186882517343,0.8962639776812659
15,2,0.07128440994889784,0.028735584389104406,-0.44804375478572805,0.056487272560870064
16,2,0.07422093677491248,0.03123070842054149,-2.845328584016937,0.5261294819987293
19,2,0.07894509334483935,0.03768310744112557,2.4071030681945564,2.402902101462264
22,2,0.08161069759521966,0.056952946958099916,0.9851901086436139,2.304671644977343
27,2,0.08606171841896626,0.07558339859404226,-0.987311692974318,0.4845955631319442
29,2,0.08718616222013875,0.0471946393036849,-1.0315468405678385,1.6377775380857682
33,2,0.08894885393844687,0.058485684495431046,1.052150427283437,2.4353756609359682
34,2,0.08943582292972763,0.04297462522937406,0.16952399890263872,1.3355356755666952
35,2,0.09026394283350803,0.05739342699410712,-0.5206831492557005,1.5017609552850801
51,3,0.09955785709359721,0.035365698842855314,1.2787140235271637,0.26022842565835824
57,3,0.10152051699314724,0.08503351073311918,-0.8219393108495705,0.5915528066715203
81,3,0.1128733682779548,0.08860590259332994,-1.1316438302168499,0.4405931363495714
103,3,0.12308323386807285,0.049393066749846046,-0.2071949481177368,1.7147668149549007
114,3,0.12582297477172077,0.036417174289990216,0.723163935056831,2.203975950742189
120,3,0.12705575680565295,0.053149490666387945,-0.4573651025076599,2.204644154122006
132,4,0.128225232355358,0.012418928743100138,2.054314544270383,0.7530617141044521
163,4,0.13350805327674287,0.08245363835806653,-0.701558062053751,0.45640607691922347
171,4,0.13643696661100535,0.056822430683290764,-0.7450217600814014,0.8530665065322162
263,4,0.1527310389693135,0.05222249465970498,0.1398772749633191,2.1915346341217177
244,5,0.1502763810009623,0.05859978142229905,-1.0206426534937127,0.9277033467513188
258,5,0.1519706090474615,0.015595990935440545,2.8794014850134815,2.413646493529449
299,5,0.1588523349580192,0.07271889997183537,0.03272387321961534,0.3320047276013093
322,5,0.1613926750426561,0.07255021914462755,-0.844208378951407,0.7352367480061293
395,5,0.17308680780077879,0.045204994885570074,1.078733045253133,1.5825128383518525
456,5,0.18080350447065174,0.033661585682855606,0.35434154833674153,2.292306602014627
359,6,0.16664598589376656,0.046949069461074196,-0.8985423675586097,1.0832290815350927
504,6,0.18491692922954828,0.09081290622043925,-0.33457579891995937,0.24881723836451516
509,6,0.18546809535383035,0.0747071969020516,-1.1007121371083364,0.9921267365777867
511,6,0.18578609554200343,0.06189039732879579,-1.4707027953387461,0.9636553544879102
1208,6,0.2311043263719179,0.061677347067784966,0.6741016037193893,1.7252427048591403
465,7,0.18142690611199463,0.0563584506693282,-0.9681068650205193,1.2403535113186421
730,7,0.2012782561697377,0.05340643320038345,-1.6933827769059737,0.9011914227120752
836,7,0.20807573345381103,0.07735628179974587,-1.0876790533916982,0.8659341402131836
848,7,0.20916625981055015,0.07047863648287198,-0.7874374383818225,0.7726417098502936
963,7,0.2169694161682123,0.06997145659351332,-0.7422046044694299,0.3788742962194001
1200,7,0.2306018544373859,0.11121230306683375,-0.657185064350225,0.49934696464802986
1389,7,0.2386367673569113,0.06606106614788841,0.5812351053355341,1.7496785210932282
1030,8,0.22103390587066363,0.06382819700290582,-1.8265178018723625,1.020306837883722
1166,8,0.22856743709583582,0.06811028474357493,-1.722082117310129,1.1449082910960164
1242,8,0.23274028774824573,0.0555096765967934,-0.25113475505183785,1.6951702557148043
1401,8,0.23931415387320043,0.054406000619788425,-0.45608703945380663,0.32576529801014625
1419,8,0.240188358981552,0.06038602532201951,-1.053931081079583,1.6844358238242603
1712,8,0.2525983140805669,0.05776460891631686,-2.8463108054357114,0.5245278809255149
1815,8,0.2563645803952106,0.03581372699884496,0.7203147106326725,1.4372911015240595
1916,8,0.2595185142191395,0.10721679020919256,-0.5623144689013679,0.7198151684167489
2243,8,0.26941654676089977,0.062349818347440834,0.515025249140377,2.0487767473173264
1801,9,0.2559437601339217,0.06105219437308409,-0.1788396011297908,1.5304413807193014
1806,9,0.25612112220402783,0.03960556501432559,-0.5284840682787568,1.767674446650566
1991,9,0.26202716314586605,0.07285291814095476,0.026602175812040562,1.8552348044979108
2017,9,0.26289702828264794,0.05454156153204321,-0.3998120554974205,1.4080410367042917
2210,9,0.26842860364077825,0.0629787323290041,-0.8494122459383189,1.7305237946818517
2237,9,0.2692768943409585,0.08099303503803511,-1.280790160543507,0.8458280150833247
2301,9,0.2708503032087939,0.04230479931709233,-1.793784385566608,0.9032803049434582
2428,9,0.27460312512913554,0.07600549056993565,-1.477738910741821,1.6062951790246236
2478,9,0.2761130570551713,0.05824568189584995,-2.1688693960073104,1.0406662741457988
2491,9,0.27659243614603735,0.054443992761575445,-2.5789685998377343,0.8331907221202746
2508,9,0.27751522865932765,0.11460379312728596,-0.5338232434549335,0.6396459827922808
