element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.005891586311706276,0.0028663301797946547,-0.7532837093895499,0.0,[0]
2,1,0.007898032764027119,0.005288867393512631,-1.5234666878713967,0.0,[0]
3,1,0.010466436958469938,0.00870980293923038,2.1009318514135975,0.0,[0]
9,1,0.013074644313682215,0.006681745092208189,-3.054032098274457,0.0,[0]
4,2,0.011242804033258169,0.002717080091827805,1.224360137893322,0.0,[1]
5,2,0.011348490356336116,0.006050171486007904,-0.7604339620748142,0.0,[1]
7,2,0.012333946211829261,0.0037235039239162794,-1.1806894476560084,0.0,[1 2]
10,2,0.014564346163684183,0.005372946054069666,-3.020586823858649,0.0,[1 9]
11,2,0.014887671757013443,0.007035743465756128,-3.088116635252273,0.0,[9]
16,2,0.017169249685043186,0.010996762997029001,2.4141214872016272,0.0,[3]
13,3,0.01555839980080731,0.006562533158560527,-0.3016665430165178,0.0,[5]
26,3,0.020466286029509284,0.0015468932633529214,1.4690049254013535,0.0,[4 5 7]
35,3,0.02250765327607196,0.009135220227220027,2.243782878453159,0.0,[ 4 10 16]
37,3,0.02254191480319334,0.008583458964599057,-2.516256917376502,0.0,[ 4  7 10 11]
42,4,0.024653430077266836,0.01280293014200602,-0.8901619892828657,0.0,[13]
44,4,0.025416968841555643,0.007048449220535221,2.2564835962038794,0.0,[35]
48,4,0.025949762208905658,0.006087112721576704,-1.3172207986099427,0.0,[13]
66,4,0.02954504824223192,0.006576673859453878,-2.752719970628337,0.0,[13 26 37]
95,5,0.03280192306328522,0.009414740930565026,-2.84387793455312,0.0,[66]
97,5,0.03289311268555273,0.007262047690476506,2.44624504071223,0.0,[44]
117,5,0.035336675920059846,0.008504597536235515,-1.3797389725284084,0.0,[42 48]
128,6,0.03643684867030861,0.009257972011371041,-2.499381558136167,0.0,[95]
150,6,0.0394458632797956,0.004033367442249007,-3.0389399688222825,0.0,[95 97]
154,6,0.03985410433269254,0.008670475263069983,-1.6396210711375485,0.0,[117]
176,7,0.04170900650306175,0.0022550709058944273,-2.9275615731143674,0.0,[150]
229,7,0.044888447848030255,0.008376771160616013,-1.999631112239535,0.0,[128 154]
256,7,0.046456153367451014,0.014607912460896927,-2.5305347737298938,0.0,[128]
304,8,0.0495262196218631,0.005549048065103642,-2.433020621014903,0.0,[176 229]
318,8,0.05018448262192432,0.0018861008548647126,-1.6087295827039947,0.0,[176]
320,8,0.050230290541935396,0.00689664315275242,3.0452873310469863,0.0,[176]
340,8,0.05101091135888003,0.008912977180553882,-2.3321677795218196,0.0,[176 229]
353,8,0.05167560937731841,0.0040382767499898085,2.6748985442267155,0.0,[176]
360,8,0.0519092339831041,0.016245688161569443,-2.829124674946021,0.0,[256]
428,9,0.05520803700085619,0.0075748533381508375,-1.6474032430623322,0.0,[304]
