element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0.0,0.0,[]
1,1,0.0290326210115574,0.0224172263019353,-1.2091382410848888,2.0374229916242332,[]
2,1,0.0306081272104017,0.0253524057629753,2.909612591396012,2.4302801206565587,[]
4,1,0.0365606116790977,0.0341576315908081,2.330455240828493,0.7004641777131086,[]
5,1,0.0395212926955865,0.0284597736703132,2.291961637346272,2.3070587847445645,[]
6,1,0.0397701489620139,0.0359743525171125,-0.0516525537257642,0.9581374893950622,[]
14,1,0.047748352066508,0.0403078405198814,1.199176194829595,1.2755160731014348,[]
27,2,0.053488985779772,0.0208456657019185,1.373422220481482,2.3438285844123605,[]
28,2,0.0540737812771133,0.0082543968625709,-1.3910940735062922,1.3791246176150047,[]
41,2,0.0586330457107296,0.0468320657483157,0.1123929634366287,1.147329663127579,[]
42,2,0.0592588441527067,0.0497245087604486,1.3279922723771085,1.2702217555516202,[]
43,2,0.0601845178051033,0.0459535342523625,2.213490328217661,0.5063177688967131,[]
45,2,0.0607117257715968,0.0414453378524161,2.3822653325165932,2.281589684876189,[]
91,3,0.0702499167699503,0.0506788364314633,-0.063702563100484,1.004968309532064,[]
113,3,0.075056420309223,0.0529047145108107,2.082032854727364,0.6407039225962727,[]
119,3,0.0761911916314511,0.027022989391928,-1.7824182280201706,1.787162129451134,[]
157,3,0.0811448754312466,0.0423084926122338,1.4893607731957157,1.829380882677824,[]
170,3,0.0829946241211947,0.0453425594124355,2.1942271352468583,2.0070958687239497,[]
197,3,0.0854268526791472,0.0595661156593412,2.154694553413455,2.0529360594446477,[]
206,3,0.086799402410912,0.0742341089957826,1.2220387050412669,1.2603305432581875,[]
219,3,0.0875349301162538,0.039585343899712,1.5598742587127967,0.8324309268930739,[]
295,3,0.0971488880724713,0.0607831158675055,1.2295722542713707,1.2202162569269352,[]
239,4,0.0908651332780209,0.047621172148449,0.1518737823059633,0.9892434863277764,[]
246,4,0.0919146485045733,0.052659871206941,2.2672571541980537,0.8458966746562318,[]
267,4,0.0945270065565986,0.0359179911927079,-1.6802751361408663,1.3172349230552207,[]
282,4,0.0960866904177989,0.0385270917081413,1.84298467703552,1.7456787548184656,[]
304,4,0.0982366562866724,0.0527365452008871,0.4583199777448478,0.804632069254328,[]
392,4,0.1043769563273107,0.0565642010163054,2.236966045053797,2.038288743974534,[]
399,4,0.1051515038242839,0.0544294965503075,1.9934912660197404,1.6624746397029353,[]
618,4,0.1172122416049009,0.0701107174617753,1.4803768631560092,1.7124319029222037,[]
662,4,0.1188901440159654,0.0779270360473886,2.2224970524875363,1.8906000229495896,[]
794,4,0.1247046685572741,0.0644627450596532,1.4041118295461954,1.2627906825086843,[]
476,5,0.1101427013060363,0.0463770704291835,0.380196471490226,0.6818042165411977,[]
607,5,0.1167615463109726,0.0450768730729131,-1.3816705645540357,0.9593376547169165,[]
706,5,0.1209377551384155,0.0630918864094197,2.014143569630975,1.05903585886865,[]
1069,5,0.1344283011938326,0.074998141194846,2.1357814293926585,1.4970389824730126,[]
1092,5,0.1349072760184493,0.0680741317785466,2.2260966568716056,1.7812594971298878,[]
1097,5,0.1349831135374152,0.080348645367872,2.12438667414495,1.52404462704734,[]
1546,5,0.1472976958688054,0.0761541775425208,1.484267335400429,1.357422547183834,[]
877,6,0.1281072120601424,0.0443312915199676,0.4576717568634771,0.6295079408385531,[]
1060,6,0.1341568407335391,0.0523736144731898,-1.127117545919984,1.1838026016144532,[]
2076,6,0.1579809198736834,0.0860126267100022,2.106258935188084,1.6357713450803435,[]
2713,6,0.1694114046092861,0.081723739424875,1.7119486351869415,1.4686251734573332,[]
1578,7,0.1478696604175229,0.0545010267598349,0.832318833674374,0.8130358042403347,[]
1583,7,0.1479475120950614,0.052534088374649,-1.271476955144162,1.1382598594391415,[]
2978,7,0.1734132521717292,0.0925415815470674,2.0029066340067443,1.6741661951663132,[]
3005,7,0.1737265741105303,0.0808884519679619,1.747212511919958,1.4944713081167609,[]
2427,8,0.1648198437899558,0.0527832573491321,1.0825224131313569,0.9272899328656912,[]
2452,8,0.1652946585677162,0.0556138280154959,-1.4838443783651034,1.0636498758179558,[]
4741,8,0.1943723759671232,0.0868013468062377,1.972670702149992,1.5634696834612667,[]
3592,9,0.181635163217053,0.0569874210348173,-1.203364538241492,0.91576933814717,[]
3889,9,0.1849875551790791,0.0440820351482192,1.4347331422833738,0.7250315063661673,[]
5119,9,0.1980609518612041,0.0865180535143358,1.966593563747299,1.591176017632303,[]
4354,10,0.1905075584497467,0.0609496495127488,-1.1988251068274982,0.8008741410977241,[]
5304,10,0.1997288260009916,0.0440786965673212,1.6053927921157174,0.8678778754352082,[]
9036,10,0.2279091507724847,0.1050490342849526,1.7837077326386914,1.429159092845245,[]
7327,11,0.2163580056888689,0.0348671696551318,1.6757096903843969,0.745489434875173,[]
9159,11,0.228682090704318,0.0729192904620245,-1.5470856297097058,0.4149153987975238,[]
10035,11,0.2342890042866028,0.067088517005417,1.7285612495694127,1.32447056923904,[]
11535,11,0.2423845424824052,0.106679422768341,1.6670146880672785,1.372578051766642,[]
9904,12,0.2334046312243288,0.0418982906059668,1.8953103124109096,0.4904227588311485,[]
11268,12,0.2409842826177545,0.0797141834283314,-1.4550510974402333,0.2960900362957009,[]
12540,12,0.2473430515476217,0.073254619860445,1.887981289635724,1.27433064123122,[]
14642,12,0.2568678263894668,0.1036569319766682,1.549742055107127,1.3427679674015485,[]
12905,13,0.2491296433791467,0.0535779477862023,2.3366951033708414,0.4859195155695659,[]
13532,13,0.2520375703639993,0.0832427426681505,-1.517647194384666,0.2812759243988108,[]
19534,13,0.2762203536828973,0.0876681952411604,1.6167184199439175,1.3490488653812227,[]
19937,14,0.2775783580198983,0.0733592273911547,-2.323217735390617,0.3003960963968651,[]
20458,14,0.2793619765321424,0.0667674673566446,-2.9196824177929575,0.3608265002404024,[]
22096,14,0.2847693723634037,0.0865704787139184,1.545352839241521,1.3113575153889068,[]
24613,15,0.2927449231541358,0.0693823162183333,-2.773558646365594,0.3659056801435972,[]
26600,15,0.298423546034421,0.0834716273979564,1.6795425948576348,1.385534833780549,[]
30070,15,0.3076375552831705,0.0751222008714104,1.569927303770538,1.3508372673589113,[]
29211,16,0.3054503683983237,0.0626334260736227,-2.4233305533370157,0.3532730254114208,[]
35391,16,0.3204199524537935,0.0823671656830925,1.6934148961542517,1.393500384862671,[]
39166,16,0.3285915181964501,0.0818814749628395,1.7864921362450037,1.2974927406613763,[]
35088,17,0.3197959731697197,0.0674875737508176,-2.0560683721703157,0.3452541757475067,[]
44493,17,0.3393046176280456,0.0834835994741468,1.7817724070005938,1.2670344548365182,[]
47243,18,0.344369477613018,0.0607740590086188,-1.4428399850312483,0.2473639436926549,[]
55857,18,0.3592135214389015,0.0738759218712696,1.778375883052994,1.2666300913974713,[]
52729,19,0.3540783900033774,0.0670153120258162,-1.36917839494098,0.169969645970763,[]
70150,19,0.38033101286003,0.0712614819306139,1.8508247996141705,1.026529855090058,[]
63028,20,0.3702006259423721,0.0730886512373187,-0.4494154972549835,0.2593792222072124,[]
72476,20,0.3834379102359572,0.0713055276154005,1.8066274035116472,1.045966564374847,[]
75560,21,0.387470999939068,0.0755024816748899,0.2323651638486966,0.1339878454483976,[]
79288,21,0.3921646341185075,0.0732323717957746,0.0632152580476368,0.4874062663112535,[]
79710,21,0.3926724575322567,0.0658313318618526,-0.3738141298759498,0.5486237163142091,[]
84834,21,0.3989489838597779,0.0651082929329481,1.9879531862352495,1.012725397508187,[]
85336,22,0.3995779520336612,0.067565679882372,-0.5083624559774806,0.1542017721169852,[]
94120,22,0.4094548455161853,0.0690133834647128,-0.0374783885400796,0.5367447131310225,[]
98663,22,0.4143837183705408,0.0931889055391596,0.8471991268826008,0.1656057475126109,[]
100204,22,0.4160043147281296,0.098227832803111,-0.3251516008662546,0.2998777252408279,[]
103061,22,0.4189500991917937,0.0826296026938509,2.0875889095820193,1.0314612201065516,[]
105606,22,0.4214811552884562,0.0458958124794744,2.071044802996226,0.834162699110001,[]
108214,23,0.4240594573561156,0.0645534101326996,0.4117539520343762,0.391633813367207,[]
109636,23,0.4254979921115223,0.0735338547549851,1.5107691483102768,0.1719180286638043,[]
110974,23,0.4267739017435685,0.0741742958389264,-1.2102259788703955,0.2021143870560627,[]
111231,23,0.4270242945816591,0.0855850873983778,-1.60483201836608,0.1938280708978022,[]
111949,23,0.4277040968416551,0.0410623691391631,2.0778623519902077,0.8108742642761758,[]
118028,23,0.433268434241694,0.0890596536686917,-0.1131668806811185,0.1683860927444115,[]
119092,23,0.4342184462294208,0.0879523483462122,-0.504761028849792,0.2862578403435632,[]
121235,23,0.4361840310171577,0.0787188026477164,-0.4697244909940339,0.4134436779530893,[]
121944,23,0.4368238441973725,0.0683800266978787,-0.8141943098094322,0.6776061791460275,[]
123657,23,0.438351408699579,0.0760776840991716,-1.2450575849366905,0.4557039170284985,[]
124837,23,0.4393605959568247,0.0816345101003866,0.3323469021309577,0.5497320954996262,[]
129271,23,0.4432615894107286,0.0701714286606981,2.2325744359693944,0.7976545031350343,[]
138966,23,0.4512834428257761,0.0797908236900246,-0.2494593894993428,0.5740931497501599,[]
132058,24,0.4455870303460123,0.0534021477746836,1.0858366024022066,0.2122725406039853,[]
136254,24,0.4491227833459664,0.0845941369322908,-1.1394464112831733,0.4646097206317996,[]
140054,24,0.4521386150510637,0.0573574734044717,-0.7052586260652531,0.3927813362961624,[]
142304,24,0.4538994223601935,0.0506231395651473,0.3733604725385578,0.7390139420654716,[]
143013,24,0.4544693933176214,0.0685323171385838,-1.1617853743429454,0.3589213893172793,[]
145526,24,0.4564745940688227,0.0964447603672423,-0.1464045404445389,0.3162124547382627,[]
146176,24,0.4569795964892887,0.070990702976452,0.3899167888394174,0.4756138200170864,[]
147769,24,0.4582598846037944,0.0898898018953045,-0.2096318964705555,0.2776377815632443,[]
154236,24,0.463284560091832,0.0827828765615151,0.407592360787172,0.6814807740106301,[]
156226,24,0.4647702511767116,0.0695065569029349,2.01343106065931,0.6572240561589963,[]
158110,24,0.4661457387757967,0.0875674520300354,-0.0452763723681072,0.4210084401576394,[]
161413,24,0.4685359404352821,0.0775233565754811,-0.4934540697951656,0.5697091740841171,[]
154219,25,0.4632727001109468,0.0568383671646565,1.0023222426892215,0.4676585987365985,[]
154948,25,0.4638353586439189,0.0711470567553987,-0.9680556435939618,0.388224425469782,[]
165317,25,0.4713052047175433,0.0728540808373862,0.8097372321784275,0.197818648725273,[]
173620,25,0.4771003968922676,0.072926115944025,0.3581905628747169,0.831908508700968,[]
177533,25,0.4798233587366549,0.0736730663410726,1.840907544922496,0.7229134921514692,[]
184056,25,0.4841739503561274,0.0801836445384963,-0.2979829090183583,0.4812031621390696,[]
191077,25,0.4887126189239535,0.0856643601683221,0.4127531554182201,0.6881345828773038,[]
183373,26,0.4837363943887687,0.0740131000503,-0.6067494637535046,0.5536680814853057,[]
190438,26,0.488303455979847,0.0721233632126116,-0.5917399036050643,0.4135308634337176,[]
191805,26,0.4891684163634182,0.0724410730587176,1.9214040175098095,0.8111070152256641,[]
212574,26,0.5018831359081861,0.0817706547004618,0.132769085863611,0.4356713474580641,[]
215054,26,0.503342145900627,0.0831195256208292,0.3262453203077253,0.6211528910021564,[]
201955,27,0.4954452663514996,0.0716649934132604,1.8227210756145855,0.8202701324621362,[]
246196,27,0.5234648562636243,0.0722231543513257,0.2130380407178659,0.7604245649436256,[]
254280,27,0.5292908773987463,0.0807258718143111,0.2664360310178387,0.7017844668882073,[]
222669,28,0.5080448014146051,0.0764198416394493,1.7782535245717608,0.7140958313316952,[]
237313,28,0.5174470740550111,0.0520968597346929,1.662952531203518,0.8586668011938648,[]
261303,28,0.5344405330415348,0.0813205100599348,0.2984868874108031,0.7310327180816082,[]
236865,29,0.5171564779712935,0.0788272508356734,1.6740658040177232,0.6267594797172,[]
277014,29,0.5464299471029864,0.0498618403053454,1.2077003822547232,0.7421249729245587,[]
285831,29,0.5536703139160633,0.0978380948521902,0.2767723356063419,0.7673528811153904,[]
265124,30,0.5372904732254196,0.0648899325075111,1.4469966483094596,0.6169933966659792,[]
292599,30,0.559368570535673,0.05345989221759,0.8602139904810321,0.7689848733693806,[]
304756,30,0.5703865409544433,0.0949411243467612,0.3744602003961543,0.8510327929041289,[]
290907,31,0.5579520829359508,0.0585703287028739,1.124219664463904,0.4067425659573893,[]
294212,31,0.5607455141049786,0.0520998101362855,1.269754197646231,0.6127371334272212,[]
300236,31,0.5661345803373224,0.0842382009862765,1.2586112933096745,0.5573330521098276,[]
301290,31,0.5671471768931232,0.0828773297156409,1.1095870295514998,0.6260975082644632,[]
320734,31,0.5865866142481811,0.0591338630022265,0.5073607297630535,1.0953640385354952,[]
327117,31,0.5934100278805967,0.0877467173414328,0.2116006525017041,1.0026882899798617,[]
320367,32,0.5861655231483381,0.0685946629330182,1.8404030306492716,0.4063009376707276,[]
320581,32,0.5864149182100442,0.0691885786799577,0.9424959851817066,0.5516594651168099,[]
329260,32,0.5958018045069094,0.0877275865025576,0.1990200111717378,0.9889436003137362,[]
329502,32,0.5960600494509528,0.0993096427143482,1.0765318490091942,0.4919020683756805,[]
340159,32,0.6088448738858084,0.0779167195003631,0.5549098736824296,1.1678032696777054,[]
328606,33,0.5950426688793938,0.0719463769770599,1.6307773239102077,0.373164238172277,[]
331592,33,0.5984154869200813,0.0681127220435068,1.0883937051451102,0.5107852460951516,[]
338244,33,0.6063698538239305,0.0990771372588134,1.0055096894674795,0.4068495256966571,[]
341150,33,0.6101609019219316,0.09441226610643,0.1818058620530364,0.8604602688260354,[]
350789,33,0.6228436829681161,0.077122843617552,0.4677448339300501,1.2426759784868624,[]
345054,34,0.615097742322543,0.0733498223570725,1.0796980337829527,0.1458018536443321,[]
354817,34,0.6287161489106667,0.0680113799917768,0.7873197712231725,0.9136166363663728,[]
356255,34,0.6308561634808418,0.1072318771294732,0.9670368382519804,0.4575811619808044,[]
357718,34,0.6330577889741151,0.0891181389156571,0.348814999627041,1.015412990611646,[]
365190,34,0.6448634020988535,0.0827773995728372,0.5362925775802625,1.0288822396158384,[]
359711,35,0.636047714940658,0.0783745199206376,-1.626422078812147,0.0937862995257196,[]
361774,35,0.6392928642086831,0.105513518612678,0.878892093143014,0.5149075324995891,[]
