element,level,t,r,theta,phi,Interval size
0,0,0.0,0.0,0,0,2618
4,1,0.12970215167437804,0.07289569854997639,-0.32172522977820206,0.9519969612218061,2618
40,2,0.19533595384728764,0.10453219850399773,-0.4595757880882264,1.233738470228606,2618
71,3,0.23869301735069526,0.11068315594904145,-0.28534807220693803,1.5233011898994726,2618
98,4,0.2596637122357319,0.10542604821620162,-0.1865304477047896,1.4012236273090217,2618
212,5,0.3166556437958462,0.1227134521562611,-0.3094480626072251,1.1622913534127868,2618
373,6,0.36514490959083246,0.09217171861213364,-0.07086224672895954,1.3512811314338808,2618
451,6,0.37970280789318067,0.08948499310146484,-0.767103286728052,1.0469840551006435,2618
761,7,0.4371288675023536,0.0723233596701524,-0.10899531100756399,1.065249983184914,2618
1325,8,0.5012265114526937,0.07750808799581912,0.29867012417366867,0.7894393616034026,2618
1815,9,0.5557047715393066,0.12606116514508844,0.23912225140043014,0.9372321032048979,2618
2237,10,0.6312570257201419,0.1033847765227755,-0.34479597812857893,0.9998568931968173,2618
2344,11,0.6648283564569076,0.11791680748586181,-0.6187915034839304,1.0479320568643948,2618
2517,12,0.7378671663084313,0.11091091735494117,-0.7425428244592285,0.5119554226294075,2618
2576,13,0.7890053212194431,0.07429471817150536,-0.8648457204459127,0.7239110456297216,2618
2602,14,0.8345705419967259,0.06286147642732073,-0.14144145981327774,0.9259447505261932,2618
2618,15,0.9338219978888621,0.030822278592986124,-2.9723435720065896,1.1947985376480945,2618
2619,16,1.0,0.0,0,0,2618
0,0,0.0,0.0,0,0,2618
1,1,0.05974719263596717,0.04245791876203517,3.1242363487745,2.1465790121373187,2618
2,1,0.07048149903733159,0.0609923345432582,-2.4432551189548586,1.0637765582856507,2618
3,1,0.0779405014437704,0.06885537454102854,1.7146345683803537,1.999090632953956,2618
4,1,0.07973423277341718,0.041280188746166714,-3.1151412653416473,1.3308661246173288,2618
6,1,0.08863371440071721,0.06787173339171894,-1.0058591368514873,0.5783061878834529,2618
15,1,0.14861496404446406,0.1248843881084767,1.1831989755817156,1.5536099923435203,2618
8,2,0.11454064857904023,0.07208257138607134,2.865700773020209,2.803049709745505,2618
12,2,0.14256930908076493,0.07810135467179974,-1.8335864997211362,2.503739590944257,2618
16,2,0.1555392339544006,0.0965752696548131,-2.5693613519022187,0.8294524562964041,2618
17,2,0.15793567306702028,0.05344906307187624,-2.064229545301728,0.5157098236502237,2618
19,2,0.16995882094968806,0.13196408811503677,-1.4237474276382815,0.9099392456432065,2618
21,2,0.17066992554861748,0.11020442048685494,2.56648710028261,2.2079956676277694,2618
22,2,0.17408064988382155,0.1058444566707683,2.2410426181112557,0.4122389220890941,2618
29,2,0.191314351965039,0.1257208592283998,1.408625561289887,1.6376900174662343,2618
51,2,0.22525316087855818,0.19128182885129702,3.0173491867803808,0.9762067122742147,2618
57,2,0.23195109369044964,0.2056992053006648,-2.7450786466391968,0.9530221437801468,2618
31,3,0.19497776048809845,0.11697613894654024,-1.5832859411507485,2.7692351382115907,2618
41,3,0.211607435355188,0.1451780265463362,2.4916297865536627,2.134242355341415,2618
55,3,0.22909297577853427,0.14289807086621048,-2.90094368565983,1.1409396124785742,2618
61,3,0.23341397410553866,0.13373387334989628,-1.4726434620631588,0.45763092793568716,2618
79,3,0.24712170527251687,0.10326165856772337,1.7888449216396696,1.5576814616005419,2618
94,3,0.25799675716681103,0.09192627007100425,2.98870244288739,1.1364709356813174,2618
130,3,0.2793547402996066,0.13894888809787886,2.09207279596053,0.9531695110705258,2618
146,3,0.287636993972359,0.22250754781266413,-2.9827105044804005,0.9113555507401151,2618
131,4,0.28013015837602395,0.12255807804525733,-1.8229131230518705,2.28013940669802,2618
134,4,0.2812829214560817,0.09818875071308024,-1.8172568597397487,2.270071306487164,2618
142,4,0.2841091422539279,0.14542072182169258,-2.631424308022502,0.9638874757602562,2618
145,4,0.28709252202236624,0.10657789505045955,-1.3929714341791772,2.5509768281472396,2618
147,4,0.28828484375180097,0.15497205607418205,-1.04850863977984,0.43664162858845273,2618
159,4,0.29457691989357015,0.16501179764955323,2.2189930311129302,1.6857109528339267,2618
244,4,0.3235850352169738,0.16252688224739895,2.9269550036714733,1.568343149368821,2618
248,4,0.32519246650488765,0.08710912948183556,-3.1153114582132133,0.8731271976388929,2618
252,4,0.3297994126662267,0.16574148260012941,2.720897703068032,0.9187419868986476,2618
274,4,0.3356304564830863,0.09912223552174759,-3.140908801039989,0.30888206763292814,2618
292,4,0.3400801061848684,0.10722557225491033,2.289486138017096,0.8228255481854636,2618
336,4,0.35606057893441145,0.26098935495993075,-2.9984269479172463,1.0745125835050735,2618
310,5,0.3452109889447331,0.08943146487285344,-1.5288288712230993,2.0697622973851972,2618
384,5,0.36545510820994465,0.20044042510751575,-1.0968953451069967,0.46543376108559664,2618
397,5,0.36907611676532526,0.10924305368194785,2.986463105794622,0.29046255347018624,2618
406,5,0.37225415976604237,0.15793654209480562,2.882284316055788,1.3781864621687796,2618
435,5,0.37935521315854914,0.17705393565288963,-1.722289507126243,2.3523133434035253,2618
443,5,0.3807616549112848,0.14930495249480435,-2.3119874701093197,1.3539269230022626,2618
470,5,0.3884388426356744,0.16091017854273315,2.44713721319586,0.6503661997930268,2618
471,5,0.3884500162825736,0.18413338158383843,-2.629898056572845,1.3863017814277834,2618
480,5,0.38967741320306015,0.15761115212894278,2.8068741497331224,0.8431795775437188,2618
511,5,0.395700291656382,0.2693856113200641,-3.0133564642477446,1.1409545488250576,2618
581,5,0.40954471657701763,0.10828560706104924,2.2545751883367338,1.2173500463296054,2618
539,6,0.40099024532487515,0.1201242916748908,-1.755639736902652,1.831759140308784,2618
560,6,0.40633796488284646,0.19668580593892823,-1.480138680208028,0.5176360632545303,2618
564,6,0.40668881308484717,0.12913799390205627,-1.1109958804031428,2.007799234268896,2618
621,6,0.41670503207774445,0.28152907369921454,-3.0190463102556446,1.1259990961092903,2618
790,6,0.4408234556393099,0.1679971417719006,-1.815475804048673,2.3313533678889486,2618
859,6,0.4481552669300729,0.2800119884916486,3.1095303593704156,1.2197785890827002,2618
901,6,0.45353619223000297,0.17072352686698244,-1.4867629902099564,2.358215448574018,2618
905,6,0.4538808852538073,0.18999528848671673,2.8813969379997046,0.6879338118902381,2618
964,6,0.46276751935226657,0.11518086564876735,2.528622016544543,1.0537885887602922,2618
1018,6,0.46955948418755966,0.14533836609867418,2.632493083740705,0.6324140441225524,2618
