element,level,t,r,theta,phi
0,0,0.0,0.0,0,0
1,1,0.044149619608671586,0.016909480067526236,1.2634504872053496,1.0266162522470392
9,1,0.06147512274845335,0.018603662918652196,-0.024599484555058435,1.9581647416154029
35,2,0.07940279148500284,0.03312239459224245,0.03789505887983595,1.8410837043190684
73,3,0.09793482094014416,0.0254683011999508,-0.1869325252899875,1.4664216684554574
102,4,0.10542435989248933,0.018344449550644685,-0.1567672960169916,1.4706945808487788
188,4,0.11905805842710049,0.03698126290230752,-0.48109451660126984,1.2522759210298195
402,5,0.14980181452952723,0.04267818961165167,-0.18133737039616588,1.6294247580087173
706,6,0.17233578830584995,0.05417974940949202,0.1944359420078014,1.711120175759022
1280,7,0.19765217268187807,0.07694143076579313,0.26743583090959855,1.6376080305237601
2061,8,0.22233868696236947,0.09657151052355999,0.15731702587127983,1.6780882744263863
2404,9,0.2307970344638547,0.09661762047035005,0.20439747413970985,1.6522719816007507
3931,10,0.26118690511479614,0.11585553855360471,0.2754062926128248,1.8522786522257255
5326,11,0.28252955130016644,0.13194296842845352,0.22564757808966254,1.9080927144379176
9414,12,0.3252964508852215,0.16976983191721765,0.17129571301841306,1.8980494476184429
11376,13,0.3409100157356917,0.174001687139776,0.22936993052146507,1.9056313506326137
15246,14,0.36692587238236296,0.16032144751239538,0.14139850615758398,1.9572728956200767
16362,14,0.3732194476764086,0.16753666448152946,0.06453335865245523,1.8583167650021162
17122,15,0.37728520480782024,0.15905103126815073,0.1029696968078835,1.9462723853893587
19904,15,0.3920724663967692,0.1652428096503117,0.08742457348040143,1.7741541995528436
22581,16,0.40500711573255666,0.16625019224109586,0.10841298285607413,1.9373169939268895
23019,16,0.40699654011057207,0.16633877539697228,0.09609238161275331,1.7653843028370328
27074,17,0.42379296047366344,0.1666079949410977,0.07889692982620175,1.860006325452074
33912,18,0.44855377466002,0.17711549779690902,0.15691924940204746,1.8543381358809312
38643,19,0.46367228872732347,0.16496877179101835,0.17376859956410928,1.8062744998528166
45792,20,0.48380963192274296,0.16039037283461968,0.06949272867844815,1.8197332268165045
61096,21,0.521918600609471,0.14045678865052624,0.0247882118672617,1.819191186570636
65665,22,0.5353297731126415,0.1527724420654121,0.02735250884264519,1.7890855616650134
70690,22,0.550823335078944,0.12895839429043077,0.031016371675765715,1.777510514960142
70960,23,0.5517304140651974,0.13958136774807042,-0.02814445010581344,1.7814584563800069
73087,23,0.5588173642199747,0.15943116550865247,0.05345657912888299,1.8511399066630823
75132,23,0.5660651039734282,0.14043962573910332,0.13917508325562242,1.664499445364266
80364,23,0.5862763931087636,0.12723265188436397,0.023836383245532836,2.085319785047953
81321,23,0.59042725456903,0.10355026366206371,0.028329075849178067,1.935907769626266
80444,24,0.5865791775664682,0.15202215827955248,-0.015170156428911011,1.7332947287985678
84078,24,0.6028350393757431,0.10616940918007525,-0.013946645330441564,1.8739940493038967
85681,24,0.6109161935269389,0.12543854890686496,-0.2814311130402406,1.7805984335853142
86301,24,0.6139377700810124,0.12976253798525894,-0.04408117360731459,1.9577742643043936
86474,24,0.6149380750682806,0.09313397168714926,0.058466272850461125,2.0207104328604513
86246,25,0.613610830901003,0.15640125531644075,-0.13189766029497157,1.8190123914301313
87065,25,0.6180853681604845,0.1457562704877468,-0.007085486709386768,1.9153219905574972
87774,25,0.6217535849897258,0.12503309495615203,-0.05906897855686457,1.9499316266656739
88629,25,0.6262941391983647,0.1325880593023892,-0.1694878684619993,1.8790402313383046
88718,25,0.6267895528345327,0.11827751991948794,-0.30834003722208314,1.7535970496918618
88740,25,0.6269132968641628,0.14330339680580764,-0.26898521146929677,1.7426427357923289
90210,25,0.6363124458631635,0.10042842185265813,0.11587192171377632,1.8490482700593476
92447,26,0.6514709063736969,0.1307019163499432,-0.18402147242754802,2.1438571378508007
93518,26,0.6591362223876562,0.12504076113171947,-0.15836679995964623,1.8799820818507207
93732,26,0.660737509358966,0.08077506267268643,0.047385622250495314,1.9795087371718325
95607,27,0.676489731686486,0.12773202486900737,-0.06969431983314515,1.9201258140071171
96778,27,0.6869135917426545,0.06237929133291924,0.14349173926309852,1.99112294680037
96792,27,0.6870446243828904,0.11254584679156925,-0.3227603595853688,2.28845170981783
97043,27,0.6896009016286334,0.10527491160363057,-0.23844192555549082,2.320011164774789
97799,28,0.6972302467394723,0.11422328091934168,-0.11327637173474797,1.8480016878357466
99110,28,0.7131110571130117,0.09535362617704075,-0.3540058989346734,2.338971677876936
99239,28,0.7146667716341805,0.08414968021002588,0.040155296667670516,2.0291527077077296
99816,29,0.7222234216252152,0.10578361483481602,0.02053300555562627,2.000287152137821
101114,29,0.7433512970072262,0.0692959308346598,-0.1797501877599719,2.2472300429067946
101756,30,0.7550576514475624,0.1020746973219531,0.2313544131657827,2.1145461437140765
102203,30,0.7635932872554251,0.10585449668749447,0.431200020772284,2.1599283611121676
102486,30,0.770490488706237,0.0705413729364865,-0.35010520276064805,1.999649231133104
102751,31,0.7777936592041124,0.0721012082122645,-0.37667402526327975,1.9972118468666205
102924,31,0.782640453585212,0.10055371177007424,0.4223362671687631,2.159557439060139
103158,31,0.7889556933267612,0.07479044534921013,-0.6202062958856114,2.036339458785859
103352,32,0.7961860590566668,0.09247784262798066,0.5346684931820013,2.185481303731476
103446,32,0.7998630766863337,0.0710239871859213,-0.6887300125076337,1.9688154850600874
103798,33,0.814613187027794,0.06141921817797716,-0.8428326278274912,1.9415296965111235
104250,33,0.8428710602229178,0.07876327590706618,0.5303681001901372,2.622557744162478
104523,34,0.8727510708482027,0.024572757844252807,-0.5504134975535797,1.5907447801721977
104549,34,0.8770868720910233,0.05493255248517684,0.44247717577599194,2.2975598307045213
104574,35,0.8812658824966016,0.03015956564090123,-0.6437738020061008,1.6341105587950668
104616,35,0.8905446938769392,0.0503258621469411,0.756574523410329,2.2829526693862254
104650,35,0.8992787390233091,0.012362294226145595,0.3092105419372237,1.6139909046124936
104688,36,0.9182715074648249,0.059095364974673235,0.8807311251578555,1.8563102410674195
104693,36,0.9205179734120666,0.021376404709338763,-0.7433769970140104,1.925856130174466
104699,36,0.9236735473880104,0.032236096235943465,-1.5707214540296746,1.5442118230016901
104701,36,0.9255460148071764,0.044774657113352045,-1.5772618751041483,0.8194013073752263
104704,36,0.927657760488608,0.020855216688799992,0.5239303067872003,1.6531359962218597
104707,36,0.9334330631421758,0.03745667190089093,1.0179888644644128,1.6010340243764734
104710,36,0.9365648444162857,0.016763941847560714,-1.6065750324686376,1.62591517514892
104713,37,0.9406175400022914,0.03953319553204651,-1.2084389007171044,0.5916403315496124
104715,37,0.9437717810391073,0.03523343664885338,-1.4035860954482926,1.557708062157218
104719,37,0.9550730528897247,0.017929878260122715,-2.2119132193993067,0.717850284227354
104720,37,0.9585988285643805,0.03558648410436934,0.5429574467294991,2.0851026501872685
104721,38,1.0,0.0,0,0
0,0,0.0,0.0,0,0
