element,level,t,r,theta,phi,pred
0,0,0.0,0.0,0,0,[]
1,1,0.025926814491902594,0.022823019358465507,0.4350164641251926,2.917164825051005,[]
4,1,0.05261898131484499,0.043554801179184366,-2.3755460028836715,1.2971374165781817,[]
7,2,0.09254785188485926,0.0474139149982571,3.134201969885166,1.6243653180724442,[]
26,3,0.14003188309901504,0.057799280980426686,2.625587877684613,0.8692982324866555,[]
81,4,0.18183523202967755,0.051479318944006834,-2.929047722783352,0.8985975522634952,[]
329,5,0.2502799895729275,0.07492762361748909,-1.6873718996518066,0.9896946303258289,[]
546,6,0.2805532323287543,0.08398189703588056,-1.4922676297434077,0.7459310760520603,[]
924,7,0.3234782803225672,0.11873323376943323,-1.3198156586263383,0.5191447507764668,[]
1288,8,0.34952386570507,0.12327580330070986,-1.1287086752050934,0.33440737451779096,[]
1855,9,0.3848206692466565,0.13520831120594046,-0.5953632577672828,0.28812135658119714,[]
2380,10,0.4104920206701437,0.12497876442299982,-0.638386644228935,0.30688238764783576,[]
3148,11,0.4421818474502256,0.12455368689888566,-0.049208951946344975,0.31684000896265385,[]
3197,11,0.4436576591106316,0.11053039812589158,-0.9682265082320676,0.4838194125290911,[]
4822,12,0.49236443685711695,0.09876214517610833,-1.4016567625510594,0.7926453805577552,[]
5009,12,0.49681722869968736,0.12163785495368491,-0.9940334323591369,0.7103953274981405,[]
5108,12,0.49945475549839424,0.08371228509706684,-1.4200275736708687,0.5291674846138431,[]
5539,12,0.5096815617838293,0.13736676341281634,-0.24202243626228473,0.8009335524312441,[]
5727,13,0.514292396714879,0.08182132609019285,-1.1810119187102048,0.6432278867440975,[]
6660,13,0.5395359057951296,0.066789568533505,-1.9667979546207202,0.6615769275949429,[]
6864,13,0.5453587184678129,0.10353012811988409,-0.6102452464615538,0.7498145000125276,[]
7421,13,0.5658727795240998,0.13967229294996406,-0.3479017602531451,0.7070630915034729,[]
7948,14,0.5841602438478628,0.06867410466027823,-1.8945812758106642,1.1241486827409686,[]
8094,14,0.5902927972533248,0.13816368097755002,-0.19718403958004696,0.7277805348079308,[]
8122,14,0.591456859716562,0.07888107382910346,-0.2533698078269645,0.4280515262667798,[]
8173,14,0.5942201207063963,0.07089893924585765,0.5196612296688934,0.8554185077885773,[]
8208,14,0.5955860686431502,0.10887324087046259,-0.1384473966569085,0.32890979856699537,[]
8290,14,0.5987094994606287,0.1588297525823554,-0.7226274032910281,0.47765904122324837,[]
8418,14,0.6054674742458068,0.13335625548192917,-0.19361028086504983,0.400868087308152,[]
8506,15,0.6094308650835216,0.157465114006474,-0.8606784288182798,0.4591524766905043,[]
8585,15,0.6136041721167115,0.0901155174182244,-0.16110180834292004,0.3193381102023692,[]
8836,15,0.6264032913478302,0.14286552917426004,-0.2307105309532354,0.556691674356452,[]
8844,15,0.6271137898909593,0.1355100536279996,0.19018184470565339,0.34063494707734926,[]
8989,15,0.6354040783982309,0.0963777522455996,0.6895044503770007,0.9571488903313699,[]
9351,15,0.65845956044161,0.028816167369194765,-2.022099249176936,2.654676710883265,[]
9524,15,0.6721044625038216,0.022864356053799717,0.31747033499738603,2.8738129609315255,[]
9301,16,0.654996737618923,0.13826525639662327,0.5395933736052786,0.3244485849932394,[]
9411,16,0.6630027156483982,0.08085554462073642,0.8792460368260122,1.0192718464494746,[]
9478,16,0.6682320937715504,0.14172704627136506,0.072216191458624,0.29624496389692084,[]
9885,16,0.710491444799781,0.05272387078774076,-2.443773350109683,2.709255456288432,[]
10021,17,0.7281841855497464,0.07513222757155161,0.30575881697318913,0.6516668976817923,[]
10027,17,0.7288276387444304,0.1065378401769894,0.23478792903178544,0.45905690429906953,[]
10071,17,0.734331184530347,0.0424801262983477,-2.6096561010622104,2.8532744231822935,[]
